(1, 0)
(0.998363, 0.0571844)
(0.993312, 0.11545)
(0.98465, 0.174518)
(0.972211, 0.234077)
(0.955862, 0.293785)
(0.935507, 0.353274)
(0.911097, 0.412153)
(0.882634, 0.47002)
(0.850171, 0.526466)
(0.813815, 0.581084)
(0.773729, 0.633478)
(0.730127, 0.683274)
(0.683274, 0.730127)
(0.633478, 0.773729)
(0.581084, 0.813815)
(0.526466, 0.850171)
(0.47002, 0.882634)
(0.412153, 0.911097)
(0.353274, 0.935507)
(0.293785, 0.955862)
(0.234077, 0.972211)
(0.174518, 0.98465)
(0.11545, 0.993312)
(0.0571844, 0.998363)
(-3.13971e-016, 1)
(-0.0571844, 0.998363)
(-0.11545, 0.993312)
(-0.174518, 0.98465)
(-0.234077, 0.972211)
(-0.293785, 0.955862)
(-0.353274, 0.935507)
(-0.412153, 0.911097)
(-0.47002, 0.882634)
(-0.526466, 0.850171)
(-0.581084, 0.813815)
(-0.633478, 0.773729)
(-0.683274, 0.730127)
(-0.730127, 0.683274)
(-0.773729, 0.633478)
(-0.813815, 0.581084)
(-0.850171, 0.526466)
(-0.882634, 0.47002)
(-0.911097, 0.412153)
(-0.935507, 0.353274)
(-0.955862, 0.293785)
(-0.972211, 0.234077)
(-0.98465, 0.174518)
(-0.993312, 0.11545)
(-0.998363, 0.0571844)
(-1, -1.25588e-015)
(-0.998363, -0.0571844)
(-0.993312, -0.11545)
(-0.98465, -0.174518)
(-0.972211, -0.234077)
(-0.955862, -0.293785)
(-0.935507, -0.353274)
(-0.911097, -0.412153)
(-0.882634, -0.47002)
(-0.850171, -0.526466)
(-0.813815, -0.581084)
(-0.773729, -0.633478)
(-0.730127, -0.683274)
(-0.683274, -0.730127)
(-0.633478, -0.773729)
(-0.581084, -0.813815)
(-0.526466, -0.850171)
(-0.47002, -0.882634)
(-0.412153, -0.911097)
(-0.353274, -0.935507)
(-0.293785, -0.955862)
(-0.234077, -0.972211)
(-0.174518, -0.98465)
(-0.11545, -0.993312)
(-0.0571844, -0.998363)
(2.51177e-015, -1)
(0.0571844, -0.998363)
(0.11545, -0.993312)
(0.174518, -0.98465)
(0.234077, -0.972211)
(0.293785, -0.955862)
(0.353274, -0.935507)
(0.412153, -0.911097)
(0.47002, -0.882634)
(0.526466, -0.850171)
(0.581084, -0.813815)
(0.633478, -0.773729)
(0.683274, -0.730127)
(0.730127, -0.683274)
(0.773729, -0.633478)
(0.813815, -0.581084)
(0.850171, -0.526466)
(0.882634, -0.47002)
(0.911097, -0.412153)
(0.935507, -0.353274)
(0.955862, -0.293785)
(0.972211, -0.234077)
(0.98465, -0.174518)
(0.993312, -0.11545)
(0.998363, -0.0571844)
