(2, 1, 5)
(1.96142, 1.03975, 4.8796)
(1.92594, 1.07878, 4.75892)
(1.89382, 1.11698, 4.63828)
(1.86531, 1.15418, 4.51798)
(1.84065, 1.19024, 4.39838)
(1.82006, 1.22503, 4.27982)
(1.80379, 1.25838, 4.16269)
(1.79204, 1.29015, 4.04735)
(1.78502, 1.32019, 3.93421)
(1.78291, 1.34835, 3.82367)
(1.78588, 1.3745, 3.71613)
(1.79405, 1.39849, 3.61198)
(1.80756, 1.4202, 3.51163)
(1.82648, 1.43952, 3.41546)
(1.85087, 1.45632, 3.32385)
(1.88077, 1.47052, 3.23715)
(1.91616, 1.48203, 3.15571)
(1.95701, 1.49079, 3.07982)
(2.00324, 1.49675, 3.00977)
(2.05475, 1.49986, 2.94581)
(2.1114, 1.50011, 2.88815)
(2.17302, 1.4975, 2.83696)
(2.23941, 1.49205, 2.79239)
(2.31034, 1.48378, 2.75453)
(2.38557, 1.47275, 2.72344)
(2.46481, 1.45902, 2.69912)
(2.54778, 1.44267, 2.68155)
(2.63417, 1.42379, 2.67067)
(2.72366, 1.40249, 2.66637)
(2.81591, 1.37889, 2.66852)
(2.91059, 1.35312, 2.67694)
(3.00736, 1.3253, 2.69143)
(3.1059, 1.29558, 2.71177)
(3.20586, 1.26411, 2.73771)
(3.30693, 1.23102, 2.76898)
(3.40442, 1.20351, 2.80279)
(3.49435, 1.18827, 2.83664)
(3.57734, 1.18486, 2.87069)
(3.65396, 1.19294, 2.90507)
(3.72468, 1.21229, 2.93994)
(3.78992, 1.2428, 2.97544)
(3.85004, 1.28445, 3.01172)
(3.90534, 1.33733, 3.04891)
(3.95609, 1.4016, 3.0872)
(4.00251, 1.47755, 3.12673)
(4.04479, 1.56557, 3.16769)
(4.08308, 1.66614, 3.21028)
(4.11748, 1.77987, 3.2547)
(4.1481, 1.9075, 3.30118)
(4.17499, 2.04991, 3.34997)
(4.19837, 2.19843, 3.4002)
(4.21838, 2.34351, 3.45075)
(4.23491, 2.48486, 3.50157)
(4.24784, 2.62218, 3.55258)
(4.25705, 2.75518, 3.60374)
(4.26245, 2.88357, 3.65495)
(4.26393, 3.00706, 3.70617)
(4.26142, 3.12537, 3.7573)
(4.25484, 3.23822, 3.80828)
(4.24411, 3.34534, 3.85903)
(4.22918, 3.44649, 3.90948)
(4.21, 3.5414, 3.95954)
(4.18653, 3.62986, 4.00913)
(4.15876, 3.71164, 4.05819)
(4.12667, 3.78655, 4.10661)
(4.09026, 3.85439, 4.15434)
(4.04955, 3.915, 4.20129)
(4.00455, 3.96824, 4.24739)
(3.95533, 4.01398, 4.29256)
(3.90191, 4.05211, 4.33673)
(3.84438, 4.08256, 4.37983)
(3.78281, 4.10526, 4.42179)
(3.71729, 4.12018, 4.46256)
(3.64792, 4.1273, 4.50207)
(3.57481, 4.12663, 4.54026)
(3.49809, 4.11822, 4.57709)
(3.4179, 4.1021, 4.61251)
(3.33437, 4.07836, 4.64648)
(3.24766, 4.0471, 4.67896)
(3.15793, 4.00844, 4.70991)
(3.06533, 3.96252, 4.73931)
(2.97005, 3.9095, 4.76713)
(2.87225, 3.84956, 4.79337)
(2.77212, 3.78288, 4.81799)
(2.66984, 3.70969, 4.841)
(2.56559, 3.63019, 4.8624)
(2.45956, 3.54463, 4.88218)
(2.35194, 3.45324, 4.90034)
(2.2429, 3.35629, 4.91691)
(2.13263, 3.25403, 4.93189)
(2.02131, 3.14674, 4.9453)
(1.90913, 3.03468, 4.95717)
(1.79624, 2.91814, 4.96751)
(1.68282, 2.79738, 4.97636)
(1.56904, 2.6727, 4.98375)
(1.45505, 2.54436, 4.98971)
(1.34101, 2.41265, 4.99427)
(1.22706, 2.27784, 4.99748)
(1.11335, 2.1402, 4.99938)
